id,name,total.over.15,male.over.15,male.college,male.grad,male.other,female.over.15,female.college,female.grad,female.other
15540,"Burlington-South Burlington, VT Metro Area",181360,88166,7173,3527,77466,93194,8488,4090,80616
13380,"Bellingham, WA Metro Area",174848,85951,10185,624,75142,88897,12557,606,75734
29200,"Lafayette-West Lafayette, IN Metro Area",174389,88840,23294,1040,64506,85549,17649,1110,66790
32780,"Medford, OR Metro Area",174315,84184,4162,576,79446,90131,5515,795,83821
46340,"Tyler, TX Metro Area",174029,82708,5270,1024,76414,91321,8380,1041,81900
29420,"Lake Havasu City-Kingman, AZ Metro Area",172460,86747,2246,283,84218,85713,3726,832,81155
30980,"Longview, TX Metro Area",171209,84831,3460,1365,80006,86378,4808,954,80616
44100,"Springfield, IL Metro Area",171205,81173,4306,1024,75843,90032,6255,1570,82207
40340,"Rochester, MN Metro Area",168424,82253,3519,1104,77630,86171,5539,1698,78934
27740,"Johnson City, TN Metro Area",168346,81497,6415,971,74111,86849,8131,1468,77250
29740,"Las Cruces, NM Metro Area",168089,81877,11565,380,69932,86212,13459,462,72291
25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",167757,82691,3198,744,78749,85066,4100,1190,79776
26380,"Houma-Thibodaux, LA Metro Area",166973,81600,3175,459,77966,85373,4635,939,79799
12020,"Athens-Clarke County, GA Metro Area",166172,79016,16158,869,61989,87156,18998,1256,66902
22500,"Florence, SC Metro Area",165455,76141,3679,858,71604,89314,7463,1204,80647
19300,"Daphne-Fairhope-Foley, AL Metro Area",162991,78899,2819,522,75558,84092,4633,984,78475
29340,"Lake Charles, LA Metro Area",161707,78052,4604,384,73064,83655,6429,494,76732
37460,"Panama City, FL Metro Area",160033,80537,4269,721,75547,79496,5107,1081,73308
40980,"Saginaw, MI Metro Area",159978,76593,6295,468,69830,83385,7798,845,74742
49740,"Yuma, AZ Metro Area",158969,81575,4580,607,76388,77394,5852,591,70951
11640,"Arecibo, PR Metro Area",158421,75230,1950,3429,69851,83191,3027,4471,75693
25900,"Hilo, HI Micro Area",157856,78109,3973,659,73477,79747,4738,871,74138
39540,"Racine, WI Metro Area",156545,76827,3412,1111,72304,79718,5081,1566,73071
45860,"Torrington, CT Micro Area",156516,76641,2664,1266,72711,79875,4229,1449,74197
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",155941,79283,19761,1309,58213,76658,17385,929,58344
41060,"St. Cloud, MN Metro Area",155492,78153,7698,2423,68032,77339,7601,3418,66320
14010,"Bloomington, IL Metro Area",154730,74842,10244,1505,63093,79888,13266,1845,64777
21140,"Elkhart-Goshen, IN Metro Area",154380,75687,2255,915,72517,78693,3329,1153,74211
28740,"Kingston, NY Metro Area",153266,75863,3868,791,71204,77403,6380,1496,69527
39460,"Punta Gorda, FL Metro Area",151736,73398,1517,676,71205,78338,2500,947,74891
47580,"Warner Robins, GA Metro Area",148624,70616,6574,1246,62796,78008,8373,1406,68229
23580,"Gainesville, GA Metro Area",148311,73164,3493,657,69014,75147,4608,1170,69369
39820,"Redding, CA Metro Area",147277,71665,3870,1173,66622,75612,4834,1813,68965
27340,"Jacksonville, NC Metro Area",144297,79615,5077,891,73647,64682,6686,1424,56572
24780,"Greenville, NC Metro Area",142762,65740,12638,454,52648,77022,18532,767,57723
17860,"Columbia, MO Metro Area",142745,68251,14324,1186,52741,74494,16678,1936,55880
14020,"Bloomington, IN Metro Area",141516,70219,19882,891,49446,71297,20325,716,50256
33740,"Monroe, LA Metro Area",141310,66972,3831,409,62732,74338,5592,445,68301
45460,"Terre Haute, IN Metro Area",141192,71353,5743,1578,64032,69839,7013,1177,61649
13460,"Bend-Redmond, OR Metro Area",140631,68787,3570,546,64671,71844,5314,377,66153
36780,"Oshkosh-Neenah, WI Metro Area",140024,70382,6245,361,63776,69642,7951,668,61023
27900,"Joplin, MO Metro Area",139507,67595,3461,1034,63100,71912,4331,1432,66149
